@id,rdf:type,skos:prefLabel,skos:altLabel,skos:definition,skos:note,skos:inScheme,skos:broader,skos:topConceptOf,pav:version,dcterms:source
imc:scheme,skos:ConceptScheme,Investment Management Capability Model,,,,,,,0.0.1,https://www.cfainstitute.org/en/programs/cfa/exam/level-iii
imc:0001,skos:Concept,Objectives and constraints identification,,,,imc:scheme,,imc:scheme,,
imc:0002,skos:Concept,Objectives identification,,,,imc:scheme,imc:0001,,,
imc:0003,skos:Concept,Economic balance sheet creation,,,,imc:scheme,imc:0001,,,
imc:0004,skos:Concept,Constraint identification,,,,imc:scheme,imc:0001,,,
imc:0005,skos:Concept,Preferences identification,,,,imc:scheme,imc:0001,,,
imc:0006,skos:Concept,Investment Policy Statement documentation,,,,imc:scheme,,imc:scheme,,
imc:0007,skos:Concept,Objectives documentation,,,,imc:scheme,imc:0006,,,
imc:0008,skos:Concept,Constraint documentation,,,,imc:scheme,imc:0006,,,
imc:0009,skos:Concept,Responsibilities documentation,,,,imc:scheme,imc:0006,,,
imc:0010,skos:Concept,Review frequency documentation,,,,imc:scheme,imc:0006,,,
imc:0011,skos:Concept,Rebalancing policy documentation,,,,imc:scheme,imc:0006,,,
imc:0012,skos:Concept,Principles documentation,,,,imc:scheme,imc:0006,,,
imc:0013,skos:Concept,Objectives and constraints monitoring,,,,imc:scheme,,imc:scheme,,
imc:0014,skos:Concept,Objectives monitoring,,,,imc:scheme,imc:0013,,,
imc:0015,skos:Concept,Economic balance sheet monitoring,,,,imc:scheme,imc:0013,,,
imc:0016,skos:Concept,Constraint monitoring,,,,imc:scheme,imc:0013,,,
imc:0017,skos:Concept,Preferences monitoring,,,,imc:scheme,imc:0013,,,
imc:0018,skos:Concept,Capital markets expectations development,,,,imc:scheme,,imc:scheme,,
imc:0019,skos:Concept,Financial market research,,,,imc:scheme,imc:0018,,,
imc:0020,skos:Concept,Economic research,,,,imc:scheme,imc:0018,,,
imc:0021,skos:Concept,Social research,,,,imc:scheme,imc:0018,,,
imc:0022,skos:Concept,Political research,,,,imc:scheme,imc:0018,,,
imc:0023,skos:Concept,Sector research,,,,imc:scheme,imc:0018,,,
imc:0024,skos:Concept,Company research,,,,imc:scheme,imc:0018,,,
imc:0025,skos:Concept,Asset class identification,,,,imc:scheme,imc:0018,,,
imc:0026,skos:Concept,Factor identification,,,,imc:scheme,imc:0018,,,
imc:0027,skos:Concept,Prices and markets monitoring,,,Omits capabilities such as monitoring of the corporate actions,imc:scheme,,imc:scheme,,
imc:0028,skos:Concept,Public equity prices,,,,imc:scheme,imc:0027,,,
imc:0029,skos:Concept,Private equity prices and valuations,,,,imc:scheme,imc:0027,,,
imc:0030,skos:Concept,Fixed income prices,,,,imc:scheme,imc:0027,,,
imc:0031,skos:Concept,Real assets prices and valuations,,,,imc:scheme,imc:0027,,,
imc:0032,skos:Concept,Foreign exchange prices,,,,imc:scheme,imc:0027,,,
imc:0033,skos:Concept,Portfolio structuring,,,Omits capabilities such as asset owner account management,imc:scheme,,imc:scheme,,
imc:0034,skos:Concept,Asset-only strategic allocation,,,,imc:scheme,imc:0033,,,
imc:0035,skos:Concept,Liability-relative strategic allocation,,,,imc:scheme,imc:0033,,,
imc:0036,skos:Concept,Goal-based strategic allocation,,,,imc:scheme,imc:0033,,,
imc:0037,skos:Concept,Mean Variance Optimization,,,,imc:scheme,imc:0033,,,
imc:0038,skos:Concept,Monte Carlo Simulation,,,,imc:scheme,imc:0033,,,
imc:0039,skos:Concept,Active implementation choices management,,,Omits capabilities such as tactical allocation and tax optimization rule management,imc:scheme,imc:0033,,,
imc:0040,skos:Concept,Passive implementation choices management,,,,imc:scheme,imc:0033,,,
imc:0041,skos:Concept,Manager selection,,,,imc:scheme,imc:0033,,,
imc:0042,skos:Concept,Individual security selection,,,Omits capability such as management of the model portfolios,imc:scheme,imc:0033,,,
imc:0043,skos:Concept,Execution of portfolio decisions,,,Omits capabilities such as order and position management,imc:scheme,imc:0033,,,
imc:0044,skos:Concept,Rebalancing,,,Omits capabilities such as rebalancing rules management,imc:scheme,,imc:scheme,,
imc:0045,skos:Concept,Evaluate progress towards achieving objectives and compliance with IPS,,,Omits capabilities such as execution cost monitoring and reporting,imc:scheme,imc:0044,,,
imc:0046,skos:Concept,Manager-level performance and risk evaluation and reporting,,,,imc:scheme,imc:0044,,,
imc:0047,skos:Concept,Asset class-level performance and risk evaluation and reporting,,,,imc:scheme,imc:0044,,,
imc:0048,skos:Concept,Fund-level performance and risk evaluation and reporting,,,,imc:scheme,imc:0044,,,
imc:0049,skos:Concept,Investment governance,,,,imc:scheme,,imc:scheme,,
